Group,Code,Title,Description,요구사항 코드,비고
,VAL_003,월별 리포트,"월별 리포트
- 절감액 및 송전수익
- 사용량 및 자립률
- 에너지 사용량 및 사용비중
- 에너지 발전량 및 사용량, 송전량, 발전 대비 사용률
- 전력망 수전 비용
- 인사이트 정보 : 지난달, 지난해 같은 달과 비교 내용",,
,VAL_004,월별 리포트 > 시간대 평균 데이터,"시간대별 평균 데이터 계산하여 노출
- 에너지 발전량
- 에너지 사용량
- 에너지 자립율
- 에너지 수전량, 송전량
- 인사이트 정보 : 지난달, 지난해 같은 달과 비교 내용",,
,VAL_005,이번달 예상 리포트,"해당월의 예상 데이터
- 경과 기간 : 실제 데이터
- 미래 기간 : 예측 데이터
- 사용패턴 및 기상정보를 활용하여,
  미래기간의 사용량, 자립 에너지 사용량, 송전량, 수전량을 도출하여 예상금액까지 계산",,
계정별 설정,SET_001,"[SET_001] 전기요금 프리셋 선택 (전력 비용, 판매 단가)","북미 지역 요금제 프리셋 제공
- 주 : 캘리포니아 > 공급사 : PG&E > 요금제 : EV2-A
- 주 : 캘리포니아 > 공급사 : SCE > 요금제 : TOU-D-PRIME
프리셋 요금제에 따라 시뮬레이션 시 계산 진행
각 공급사별 전력 판매 단가에 따라 시뮬레이션 시 계산 진행",,
,SET_002,요금 직접 설정,"요금 직접 설정 기능
- 일 고정비용
- 시즌 : 여름 추가, 겨울 추가
- 주말 사용여부
- 시간 : 시즌, 주말 여부 반영하여 시간대 설정, 피크, 슈퍼피크, 오프 중 설정
- 설정된 시간대별 수전 단가, 송전 단가 금액 설정",,
,SET_003,사용모드 설정,"사용모드 설정
- 스마트 모드 (Smart)
- 자가소비 최적화 모드 (Self Powered) 
- 피크부하 저감 모드 (Time Based) ",,
,SET_004,송전 설정,"Grid로 송전할 에너지 설정
- 사용안함 / Solar만 / Solar+ESS",,
,SET_005,ESS 예비율 설정,"ESS 상시 보유할 예비율 설정
- 기기의 권장 최소, 최대 이상으로는 설정 불가. 디폴트도 계산에 따라 해당값으로 설정됨",,
,SET_006,ESS 예비율 가이드 정보 제공,"백업 예비량 사용현황을 분석하여 예비율 가이드 정보 제공
- 3개월 백업 분석하여, 발생 백업건, 백업건당 평균 사용률, 최대 사용률
- 사용률은 사용량을 바탕으로 계산",,
,SET_007,기상악화 대비 모드 사용 설정,"기상악화 대비모드 사용 여부 설정
- True / false",,
,SET_008,외부전력 차단 모드 수동 설정,"외부전력 차단모드 수동 설정
- True / false",,
,SET_009,설정값 반영한 시뮬레이션 정보 제공,"설정값을 반영하여 시뮬레이션 노출
- 사용모드 : smart, self-powered, time-based
- strom watch mode 사용 여부 : true / false
- grid off 수동 설정 : true / false
- ess 예비율
- 외부 송전 설정 : 사용안함 / only Solar / solar + ESS
- ESS 추가(n) 설정 (시뮬레이션 용)
위의 설정값을 반영하여 기상정보와 유저의 사용정보를 조합하여 30일 예상 데이터를 도출
- 총 사용량, 자립 에너지 사용량(+절감금액), Gird 수전량(+전기요금), Grid 송전량(판매수익), 자립률
- 피드백 코멘트 필요 시 노출 
  - 외부전력 차단모드 ON & 시뮬레이션에서 전력망 사용량이 발생 시 : 외부전력 차단모드를 사용하여 정전될 확률이 있습니다.
  - 기상악화 대비모드 ON & 30일 이내 기상악화 대비모드 발생가능 시 : 기상악화가 예상되어 ESS 예비 비축이 진행될 수 있습니다.",,
계정별 수동 제어,MEMCON_001,계정별 수동 제어,"각 기능별 사용 설정
- Solar 발전 사용 설정
- Solar 공급 사용 설정
- Home 사용 설정
- ESS 충전 설정
- ESS 방전 설정
- EV 충전 설정
- Grid 수전 설정
- Grid 송전 설정",,
알림_계정별,NOT_001,내부 메시지로 표현,"Push, 문자, 이메일 아닌 앱 내 알림 메시지로 구현",,
,NOT_002,외부전력 차단 모드 전환,"Grid 사용 불가에 따른 외부전력 차단 모드 전환 안내 (수동 설정건은 제외)
- 현재 자체 에너지 사용에 따른 전력 사용 가능시간 안내",,
,NOT_003,외부전력 차단 모드 해제,Grid 재사용 가능에 따른 외부전력 차단 모드 해제 안내 (수동 설정건은 제외),,
,NOT_004,기상악화 대비 모드 전환,기상악화 정보에 따른 기상악화 대비 모드 전환 안내,,
,NOT_005,기상악화 대비 모드 해제,기상악화 정보에 따른 기상악화 대비 모드 해제 안내,,
,NOT_006,ESS 예비량 사용 시 알림,ESS 예비량 사용 시 알림,,
,NOT_007,ESS 완전 방전 시 알림,ESS 완전 방전 시 알림,,
,NOT_008,발전량 부족,"발전량이 예측 대비 부족 시 알림 (80% 미만)
- 일 기준. 다음날 8시 알림",,
,NOT_009,자립률 부족,"설정한 자립률 미만 일 시 알림
- 일 기준. 다음날 8시 알림",,
,NOT_010,사용량 증가,"사용량 예측값 보다 설정한 증가율 초과 시 알림
- 일 기준. 다음날 8시 알림",,
,NOT_011,에너지 리포트 알림,"에너지 리포트 생성(지난 달) 시 알림
- 클릭 시 에너지 리포트로 랜딩",,
,NOT_012,상태 이상 알림,"Solar 공급 이상 알림
Grid 수전 이상 알림
Grid 송전 이상 알림
ESS 충전 이상 알림
ESS 방전 이상 알림
EV 충전 이상 알림
EV 방전 이상 알림",,
,NOT_013,기상 특보 알림,"기상 데이터 기준 특보 알림
- 한국, 미국(캘리포니아 기준)",,
,NOT_014,Grid 수전/송전 전환 알림,Grid 수전/송전 전환 시 알림,,
,NOT_015,네트워크 단절 알림,네트워크 단절 시 알림,,
,NOT_016,네트워크 복구 알림,단절 후 네트워크 복구 시 알림,,
히스토리_계정별,MEMHIS_001,히스토리 공통사항,"설정값 및 수동설정값 히스토리 저장
- 변경한 항목 및 설정값(변경전, 변경후)
- 변경 주체(고객 or 어드민. 어드민일 경우 해당 계정까지 저장)
- 변경일시
최초 설정값도 저장",,
,MEMHIS_002,요금 설정값의 경우 스냅샵 저장,저장시마다 스냅샵으로 저장하여 확인,,
,MEMHIS_003,히스토리 로그_설정,"변경 저장건 로그 저장
- 사용모드 설정
- 송전 설정
- ESS 예비율 설정
- 기상악화 대비모드 사용여부
- 외부전력 차단모드 사용여부",,
,MEMHIS_004,히스토리 로그_수동제어,"변경 저장건 로그 저장
- Solar 발전 사용 설정
- Solar 공급 사용 설정
- Home 사용 설정
- ESS 충전 설정
- ESS 방전 설정
- EV 충전 설정
- Grid 수전 설정
- Grid 송전 설정",,
